"Comment","Designator","Footprint","LCSC Part #"
"100n","C101,C102,C105,C106","C_0402_1005Metric","C77020"
"1µ","C103,C104","C_0805_2012Metric","C701194"
"LED","D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115","LED_0603_1608Metric","C72041"
"FerriteBead_Small","FB101","L_0402_1005Metric","C85812"
"serial","J102","USB_Micro-B_Molex-105017-0001","C505111"
"1k","R101,R102,R103,R104,R105,R106,R108,R110,R111,R112,R114,R116,R117,R118,R119","R_0402_1005Metric","C114759"
"3k9","R107,R109,R113,R115","R_0402_1005Metric","C144037"
"AT24C256C-SSHL","U101","SOIC-8_3.9x4.9mm_P1.27mm","C6482"
"ATECC608A-MAHDA","U102","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm","C616909"
"CH330N","U105","SOIC-8_3.9x4.9mm_P1.27mm","C108996"
"USBLC6-2SC6","U104","SOT-23-6","C7519"
"XC6206P332MR","U103","SOT-23-3","C2897477"
